rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0120.jpg,48.0,0.4936,0.4792,0.5,0.52,5,4,False,False
77,frame_0374.jpg,149.6,0.4911,0.6773,0.375,0.2,10,3,False,False
78,frame_0396.jpg,158.4,0.4906,0.5421,0.625,0.16,7,5,False,False
79,frame_0271.jpg,108.4,0.4904,0.8898,0.125,0.04,2,1,False,False
80,frame_0168.jpg,67.2,0.4903,0.5316,0.375,0.56,6,3,False,False
81,frame_0004.jpg,1.6,0.4899,0.4299,0.25,1.0,4,2,False,False
82,frame_0306.jpg,122.4,0.4877,0.5795,0.5,0.24,7,4,False,False
83,frame_0124.jpg,49.6,0.4861,0.4752,0.375,0.68,6,3,False,False
84,frame_0173.jpg,69.2,0.486,0.528,0.5,0.36,6,4,False,False
85,frame_0210.jpg,84.0,0.4846,0.5471,0.25,0.68,3,2,False,False
86,frame_0169.jpg,67.6,0.4829,0.4579,0.5,0.52,6,4,False,False
87,frame_0089.jpg,35.6,0.4786,0.4972,0.5,0.4,6,4,False,False
88,frame_0133.jpg,53.2,0.4773,0.4046,0.25,1.0,5,2,False,False
89,frame_0081.jpg,32.4,0.4764,0.3648,0.5,0.72,5,4,False,False
90,frame_0231.jpg,92.4,0.4762,0.5884,0.5,0.16,8,4,False,False
91,frame_0229.jpg,91.6,0.476,0.5449,0.625,0.08,6,5,False,False
92,frame_0297.jpg,118.8,0.4745,0.484,0.375,0.6,5,3,False,False
93,frame_0302.jpg,120.8,0.4728,0.4856,0.5,0.4,6,4,False,False
94,frame_0174.jpg,69.6,0.4707,0.5134,0.5,0.32,4,4,False,False
95,frame_0115.jpg,46.0,0.4706,0.5132,0.5,0.32,6,4,False,False
96,frame_0317.jpg,126.8,0.4689,0.5579,0.5,0.2,8,4,False,False
97,frame_0068.jpg,27.2,0.4678,0.3857,0.25,1.0,9,2,False,False
98,frame_0206.jpg,82.4,0.4659,0.4778,0.25,0.76,2,2,False,False
99,frame_0321.jpg,128.4,0.4642,0.4734,0.625,0.2,7,5,False,False
100,frame_0021.jpg,8.4,0.4609,0.3718,0.25,1.0,5,2,False,False
101,frame_0177.jpg,70.8,0.4606,0.4662,0.625,0.2,6,5,False,False
102,frame_0286.jpg,114.4,0.4601,0.4392,0.375,0.64,6,3,False,False
103,frame_0330.jpg,132.0,0.4596,0.6782,0.375,0.04,9,3,False,False
104,frame_0300.jpg,120.0,0.4562,0.4205,0.5,0.48,7,4,False,False
105,frame_0274.jpg,109.6,0.4531,0.5421,0.5,0.16,5,4,False,False
106,frame_0318.jpg,127.2,0.4525,0.584,0.375,0.24,6,3,False,False
107,frame_0118.jpg,47.2,0.4524,0.4287,0.5,0.44,6,4,False,False
108,frame_0299.jpg,119.6,0.4521,0.4712,0.375,0.52,6,3,False,False
109,frame_0008.jpg,3.2,0.4498,0.3496,0.25,1.0,4,2,False,False
110,frame_0307.jpg,122.8,0.4488,0.4427,0.625,0.2,8,5,False,False
111,frame_0389.jpg,155.6,0.4471,0.4711,0.625,0.12,8,5,False,False
112,frame_0016.jpg,6.4,0.4468,0.3435,0.25,1.0,6,2,False,False
113,frame_0279.jpg,111.6,0.4467,0.5994,0.25,0.36,5,2,False,False
114,frame_0207.jpg,82.8,0.4459,0.4218,0.25,0.8,3,2,False,False
115,frame_0185.jpg,74.0,0.4451,0.5581,0.5,0.08,9,4,False,False
116,frame_0025.jpg,10.0,0.445,0.415,0.125,1.0,2,1,False,False
117,frame_0388.jpg,155.2,0.4447,0.4504,0.625,0.16,9,5,False,False
118,frame_0333.jpg,133.2,0.4443,0.6316,0.375,0.08,9,3,False,False
119,frame_0003.jpg,1.2,0.4435,0.262,0.375,1.0,5,3,False,False
120,frame_0178.jpg,71.2,0.4435,0.5229,0.5,0.16,7,4,False,False
121,frame_0028.jpg,11.2,0.4428,0.3356,0.25,1.0,4,2,False,False
122,frame_0080.jpg,32.0,0.4407,0.3524,0.375,0.76,6,3,False,False
123,frame_0370.jpg,148.0,0.4403,0.5646,0.5,0.04,6,4,False,False
124,frame_0184.jpg,73.6,0.4392,0.5463,0.5,0.08,7,4,False,False
125,frame_0233.jpg,93.2,0.4381,0.5552,0.375,0.24,6,3,False,False
126,frame_0289.jpg,115.6,0.4378,0.4965,0.125,0.76,5,1,False,False
127,frame_0075.jpg,30.0,0.4377,0.3414,0.25,0.96,7,2,False,False
128,frame_0205.jpg,82.0,0.436,0.434,0.25,0.72,2,2,False,False
129,frame_0208.jpg,83.2,0.4331,0.4121,0.25,0.76,5,2,False,False
130,frame_0301.jpg,120.4,0.4328,0.4646,0.375,0.44,6,3,False,False
131,frame_0313.jpg,125.2,0.4324,0.6987,0.25,0.04,2,2,False,False
132,frame_0373.jpg,149.2,0.4307,0.4975,0.5,0.16,7,4,False,False
133,frame_0023.jpg,9.2,0.4299,0.3099,0.25,1.0,3,2,False,False
134,frame_0125.jpg,50.0,0.4288,0.4196,0.25,0.72,6,2,False,False
135,frame_0379.jpg,151.6,0.4261,0.4612,0.625,0.04,9,5,False,False
136,frame_0225.jpg,90.0,0.4258,0.5196,0.5,0.08,5,4,False,False
137,frame_0203.jpg,81.2,0.425,0.3691,0.375,0.64,4,3,False,False
138,frame_0316.jpg,126.4,0.4231,0.4822,0.5,0.16,6,4,False,False
139,frame_0319.jpg,127.6,0.4225,0.433,0.5,0.28,8,4,False,False
140,frame_0001.jpg,0.4,0.4224,0.4447,0.0,1.0,8,0,False,False
141,frame_0214.jpg,85.6,0.4222,0.4863,0.25,0.52,3,2,False,False
142,frame_0269.jpg,107.6,0.418,0.5199,0.5,0.04,4,4,False,False
143,frame_0027.jpg,10.8,0.4168,0.3586,0.125,1.0,3,1,False,False
144,frame_0197.jpg,78.8,0.4139,0.5928,0.125,0.4,1,1,False,False
145,frame_0032.jpg,12.8,0.4126,0.3502,0.125,1.0,5,1,False,False
146,frame_0005.jpg,2.0,0.4114,0.3478,0.125,1.0,4,1,False,False
147,frame_0131.jpg,52.4,0.4103,0.3616,0.125,0.96,5,1,False,False
148,frame_0320.jpg,128.0,0.4102,0.4994,0.375,0.24,6,3,False,False
149,frame_0398.jpg,159.2,0.4102,0.4995,0.375,0.24,9,3,False,False
150,frame_0322.jpg,128.8,0.4073,0.5255,0.375,0.16,4,3,False,False
151,frame_0179.jpg,71.6,0.4069,0.5408,0.375,0.12,6,3,False,False
152,frame_0188.jpg,75.2,0.4051,0.4942,0.5,0.04,8,4,False,False
153,frame_0010.jpg,4.0,0.4042,0.3334,0.125,1.0,2,1,False,False
154,frame_0105.jpg,42.0,0.4026,0.4732,0.5,0.08,6,4,False,False
155,frame_0017.jpg,6.8,0.3996,0.3242,0.125,1.0,4,1,False,False
156,frame_0280.jpg,112.0,0.3991,0.4882,0.25,0.4,6,2,False,False
157,frame_0012.jpg,4.8,0.3982,0.3214,0.125,1.0,3,1,False,False
158,frame_0186.jpg,74.4,0.3944,0.5478,0.375,0.04,10,3,False,False
159,frame_0223.jpg,89.2,0.3938,0.4986,0.375,0.16,6,3,False,False
160,frame_0171.jpg,68.4,0.3926,0.3841,0.375,0.44,4,3,False,False
161,frame_0281.jpg,112.4,0.3918,0.4575,0.25,0.44,5,2,False,False
162,frame_0204.jpg,81.6,0.3913,0.3606,0.25,0.68,2,2,False,False
163,frame_0090.jpg,36.0,0.3911,0.4882,0.25,0.36,4,2,False,False
164,frame_0278.jpg,111.2,0.3911,0.5043,0.25,0.32,7,2,False,False
165,frame_0216.jpg,86.4,0.3879,0.4498,0.25,0.44,4,2,False,False
166,frame_0076.jpg,30.4,0.3873,0.3316,0.125,0.92,6,1,False,False
167,frame_0199.jpg,79.6,0.3872,0.5074,0.125,0.48,1,1,False,False
168,frame_0213.jpg,85.2,0.385,0.471,0.125,0.56,2,1,False,False
169,frame_0315.jpg,126.0,0.3849,0.4967,0.375,0.12,7,3,False,False
170,frame_0277.jpg,110.8,0.3836,0.4303,0.375,0.28,7,3,False,False
171,frame_0391.jpg,156.4,0.3826,0.5242,0.375,0.04,8,3,False,False
172,frame_0024.jpg,9.6,0.3825,0.2899,0.125,1.0,3,1,False,False
173,frame_0211.jpg,84.4,0.3794,0.3528,0.25,0.64,4,2,False,False
174,frame_0189.jpg,75.6,0.3785,0.5001,0.375,0.08,4,3,False,False
175,frame_0219.jpg,87.6,0.3739,0.3949,0.375,0.32,4,3,False,False
176,frame_0121.jpg,48.4,0.373,0.3719,0.25,0.56,5,2,False,False
177,frame_0019.jpg,7.6,0.3715,0.268,0.125,1.0,4,1,False,False
178,frame_0390.jpg,156.0,0.3688,0.4805,0.375,0.08,8,3,False,False
179,frame_0111.jpg,44.4,0.3681,0.5223,0.25,0.16,3,2,False,False
180,frame_0314.jpg,125.6,0.3666,0.4011,0.5,0.08,6,4,False,False
181,frame_0096.jpg,38.4,0.3665,0.46,0.375,0.12,6,3,False,False
182,frame_0220.jpg,88.0,0.3659,0.4698,0.25,0.28,4,2,False,False
183,frame_0176.jpg,70.4,0.3646,0.4832,0.25,0.24,7,2,False,False
184,frame_0088.jpg,35.2,0.3624,0.3988,0.25,0.44,5,2,False,False
185,frame_0305.jpg,122.0,0.3601,0.3832,0.375,0.28,5,3,False,False
186,frame_0200.jpg,80.0,0.3592,0.3604,0.25,0.52,2,2,False,False
187,frame_0224.jpg,89.6,0.3589,0.5197,0.25,0.12,5,2,False,False
188,frame_0098.jpg,39.2,0.3587,0.4014,0.5,0.04,5,4,False,False
189,frame_0193.jpg,77.2,0.3583,0.3955,0.375,0.24,6,3,False,False
190,frame_0091.jpg,36.4,0.3578,0.4376,0.25,0.32,3,2,False,False
191,frame_0386.jpg,154.4,0.3564,0.4667,0.25,0.24,7,2,False,False
192,frame_0006.jpg,2.4,0.3548,0.2346,0.125,1.0,4,1,False,False
193,frame_0226.jpg,90.4,0.3547,0.4684,0.375,0.04,4,3,False,False
194,frame_0181.jpg,72.4,0.3519,0.3879,0.5,0.04,6,4,False,False
195,frame_0228.jpg,91.2,0.3519,0.5378,0.25,0.04,7,2,False,False
196,frame_0084.jpg,33.6,0.351,0.3871,0.125,0.6,3,1,False,False
197,frame_0232.jpg,92.8,0.3508,0.3967,0.375,0.2,6,3,False,False
198,frame_0022.jpg,8.8,0.3459,0.2168,0.125,1.0,5,1,False,False
